step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
189,936276,756,0.02858992092920223,0.0,0.914179104477612,,,
190,938808,760,0.025387196079488226,0.5,0.9473684210526315,,,
191,943356,764,0.03345074624954857,0.0,0.8442622950819673,,,
192,946848,768,0.02461691612355615,0.0,0.9540816326530612,,,
193,951300,772,0.027056385671261313,0.0,0.8596491228070176,0.017812128729548193,0.0,0.922077922077922
194,959240,776,0.030559874107382343,0.0,0.908675799086758,,,
195,965484,780,0.019143409951158607,0.0,0.8787878787878788,,,
196,969264,784,0.026875977292394035,0.25,0.8695652173913043,,,
197,973300,788,0.03067129120839242,0.0,0.8214285714285714,,,
198,975416,792,0.03237203948584002,0.0,0.7352941176470589,,,
199,978556,796,0.031956757447669994,0.25,0.9102564102564102,,,
200,980704,800,0.028792274947769116,0.0,0.9223300970873787,,,
201,985028,804,0.03144763846205713,0.0,0.8271604938271605,0.0184611469011273,0.0,0.8769230769230769
202,987528,808,0.02995719560121296,0.25,0.896551724137931,,,
203,990732,812,0.025859793355090775,0.0,0.8271604938271605,,,
204,994704,816,0.025714385014662854,0.0,0.7704918032786885,,,
205,999604,820,0.02118501596511859,0.0,0.9485294117647058,,,
206,1002456,824,0.024521298978815158,0.25,0.8235294117647058,,,
207,1010172,828,0.015834318139085857,0.0,0.9195402298850575,,,
208,1017024,832,0.02186027202256073,0.0,0.9054054054054054,,,
209,1019748,836,0.037327740044769804,0.0,0.8382352941176471,0.022324848526401486,0.0,0.8125
210,1021928,840,0.035011082208930705,0.0,0.8620689655172413,,,
211,1024268,844,0.05231415511516762,0.0,0.8292682926829268,,,
212,1032048,848,0.015902735848582775,0.25,0.9158878504672897,,,
213,1036436,852,0.0279509375306791,0.0,0.8775510204081632,,,
214,1041464,856,0.027237782120176565,0.25,0.8648648648648649,,,
215,1048060,860,0.01970583496901502,0.0,0.8372093023255814,,,
216,1051584,864,0.03377147420069533,0.0,0.6153846153846154,,,
217,1053284,868,0.032316010141850225,0.0,0.7941176470588235,0.03775940907885745,0.0,0.7681159420289855
218,1060840,872,0.020563046369212783,0.0,0.8823529411764706,,,
219,1063564,876,0.033390720701554945,0.0,0.9148936170212766,,,
220,1069840,880,0.035851095290046896,0.0,0.8333333333333334,,,
221,1073716,884,0.02452444620648899,0.25,0.8275862068965517,,,
222,1081624,888,0.03504145919335763,0.0,0.6081081081081081,,,
223,1083964,892,0.02932375358046326,0.0,0.75,,,
