step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
122,589768,488,0.017779723862101356,0.0,0.8214285714285714,,,
123,594668,492,0.01958173241012179,0.5,0.7727272727272727,,,
124,597424,496,0.03300241346985109,0.0,0.8555555555555555,,,
125,602932,500,0.027891508409395718,0.0,0.89375,,,
126,610680,504,0.02578090636258051,0.0,0.8877551020408163,,,
127,612796,508,0.03354779972124533,0.25,0.8620689655172413,,,
128,618464,512,0.021146778963754758,0.0,0.9263157894736842,,,
129,622916,516,0.024202238234557152,0.25,0.9,0.0227495469548488,0.0,0.8933333333333333
130,630632,520,0.016536207223564983,0.0,0.71875,,,
131,632620,524,0.05341729757154049,0.0,0.7547169811320755,,,
132,636208,528,0.03342951463670901,0.0,0.8888888888888888,,,
133,642260,532,0.015224507322362085,0.0,0.8767123287671232,,,
134,645336,536,0.023828523290823352,0.0,0.9120879120879121,,,
135,647388,540,0.034907771495249276,0.0,0.8507462686567164,,,
136,654176,544,0.016718497018925294,0.0,0.8208955223880597,,,
137,660612,548,0.017752916858757524,0.25,0.9454545454545454,0.028474101343834896,0.25,0.84
138,668424,552,0.022173784534482537,0.0,0.6666666666666666,,,
139,676140,556,0.016381208753441193,0.0,0.85,,,
140,681136,560,0.020912172740768068,0.0,0.7083333333333334,,,
141,684148,564,0.024710678877987297,0.0,0.8409090909090909,,,
142,689752,568,0.018266721589193378,0.0,0.7407407407407407,,,
143,694268,572,0.01808926026084583,0.25,0.9278350515463918,,,
144,696064,576,0.035227523575199295,0.0,0.9154929577464789,,,
145,703908,580,0.026133636347239062,0.0,0.8111111111111111,0.02371898033946261,0.0,0.8
146,709544,584,0.022386179512500513,0.0,0.9214285714285714,,,
147,713548,588,0.022598733387570936,0.0,0.7407407407407407,,,
148,715760,592,0.046058034219271064,0.0,0.8208955223880597,,,
149,720052,596,0.028354125874684433,0.25,0.8947368421052632,,,
150,727000,600,0.02035132543986933,0.0,0.8943661971830986,,,
151,730140,604,0.02287603047155299,0.25,0.8775510204081632,,,
152,737856,608,0.012294781839846064,0.5,0.8888888888888888,,,
153,741284,612,0.027026537964508247,0.0,0.8787878787878788,0.031554770043951144,0.0,0.9294117647058824
154,745480,616,0.029276445268290728,0.25,0.9515151515151515,,,
155,749708,620,0.03025430523044622,0.0,0.9214285714285714,,,
156,752528,624,0.023624100706647277,0.0,0.9032258064516129,,,
157,756020,628,0.02597205104151887,0.0,0.7741935483870968,,,
158,763832,632,0.017968611091652476,0.25,0.8409090909090909,,,
159,768284,636,0.02777236759244755,0.0,0.5833333333333334,,,
160,773248,640,0.02585443556835269,0.0,0.8790322580645161,,,
161,777188,644,0.029794694189790926,0.0,0.8596491228070176,0.03091032166179396,0.0,0.7708333333333334
162,784072,648,0.017289329255894544,0.0,0.7894736842105263,,,
163,791820,652,0.015359932981868012,0.0,0.8727272727272727,,,
164,794736,656,0.029206034890615684,0.0,0.8780487804878049,,,
165,800020,660,0.02282890695378606,0.0,0.9056603773584906,,,
166,806040,664,0.014697272015440898,0.25,0.972027972027972,,,
167,810300,668,0.020024478193051556,0.0,0.7777777777777778,,,
168,812608,672,0.029667619282608818,0.25,0.941747572815534,,,
169,819044,676,0.01735839377621379,0.0,0.813953488372093,0.025321010643181586,0.0,0.9069767441860465
170,826760,680,0.02483792695151774,0.25,0.8428571428571429,,,
171,831724,684,0.021678318573858563,0.0,0.8877551020408163,,,
172,833744,688,0.023375018106914173,0.5,0.94,,,
173,841460,692,0.014140552150817137,0.25,0.8985507246376812,,,
174,846520,696,0.019674403006931542,0.5,0.8518518518518519,,,
175,854620,700,0.017731945303557584,0.0,0.9354838709677419,,,
176,862400,704,0.014624808666631647,0.0,0.8695652173913043,,,
177,870116,708,0.02005496662848459,0.0,0.717391304347826,0.023096929000749736,0.25,0.9398496240601504
178,873032,712,0.02196786750865078,0.5,0.8461538461538461,,,
179,878860,716,0.02195450029119369,0.0,0.9299065420560748,,,
180,886864,720,0.025402053913645556,0.0,0.8769230769230769,,,
181,889780,724,0.033745601811517645,0.25,0.8260869565217391,,,
182,895224,728,0.020956575277166916,0.0,0.8674698795180723,,,
183,900220,732,0.03313841729452411,0.0,0.7543859649122807,,,
184,908032,736,0.015333180314758124,0.0,0.8688524590163934,,,
185,913604,740,0.016055182994622236,0.0,0.7272727272727273,0.027606377967538988,0.25,0.625
186,920104,744,0.017713575442878382,0.0,0.9047619047619048,,,
187,925804,748,0.017146852277489133,0.0,0.7073170731707317,,,
